N,M,Method,Tau,Error,Computation Time
16,3,Arnoldi,1,0.007027804004467187,0.0011547327041625977
16,3,Lanzcos,1,0.007027804004467205,0.0011272192001342773
16,4,Scipy,1,0.0,0.0008082389831542969
16,4,Arnoldi,1,0.0014819616143547443,0.001218557357788086
16,4,Lanzcos,1,0.0014819616143547578,0.0011542797088623046
16,5,Scipy,1,0.0,0.0008082389831542969
16,5,Arnoldi,1,0.00025819459985617623,0.0012636661529541015
16,5,Lanzcos,1,0.00025819459985623007,0.0011821985244750977
16,6,Scipy,1,0.0,0.0008082389831542969
16,6,Arnoldi,1,3.713838638414785e-05,0.001452469825744629
16,6,Lanzcos,1,3.7138386384229356e-05,0.0012233972549438477
16,7,Scipy,1,0.0,0.0008082389831542969
16,7,Arnoldi,1,4.0910902865462145e-06,0.0014108180999755859
16,7,Lanzcos,1,4.0910902865741225e-06,0.0012259244918823241
16,8,Scipy,1,0.0,0.0008082389831542969
16,8,Arnoldi,1,2.577684679734114e-16,0.0014700174331665039
16,8,Lanzcos,1,2.7052788744732945e-16,0.0012372970581054688
16,9,Scipy,1,0.0,0.0008082389831542969
16,9,Arnoldi,1,2.2591401799415137e-16,0.0015488147735595703
16,9,Lanzcos,1,3.2427731182360424e-16,0.0012518882751464844
16,10,Scipy,1,0.0,0.0008082389831542969
16,10,Arnoldi,1,5.340694943204953e-16,0.0016415119171142578
16,10,Lanzcos,1,4.3377800263110734e-16,0.0012694120407104493
16,11,Scipy,1,0.0,0.0008082389831542969
16,11,Arnoldi,1,3.0054303251241967e-16,0.001740574836730957
16,11,Lanzcos,1,2.276126435504334e-16,0.0013000249862670898
16,12,Scipy,1,0.0,0.0008082389831542969
16,12,Arnoldi,1,4.613190423717511e-16,0.0018532991409301758
16,12,Lanzcos,1,2.2633986948989e-16,0.0013633966445922852
16,13,Scipy,1,0.0,0.0008082389831542969
16,13,Arnoldi,1,4.1191555942998243e-16,0.0020184993743896486
16,13,Lanzcos,1,2.6945789820192466e-16,0.0014120101928710937
16,14,Scipy,1,0.0,0.0008082389831542969
16,14,Arnoldi,1,2.5626980138831173e-16,0.0021925926208496093
16,14,Lanzcos,1,2.7088361131887196e-16,0.001475214958190918
16,15,Scipy,1,0.0,0.0008082389831542969
16,15,Arnoldi,1,3.6215442729969586e-16,0.0021831274032592775
16,15,Lanzcos,1,2.3221980631040623e-16,0.0013529539108276367
16,16,Scipy,1,0.0,0.0008082389831542969
16,16,Arnoldi,1,3.310368768515582e-16,0.002241086959838867
16,16,Lanzcos,1,2.276126435504334e-16,0.0014096736907958985
32,1,Scipy,1,0.0,0.0008301734924316406
32,1,Arnoldi,1,0.066875798270571,0.0006966114044189454
32,1,Lanzcos,1,0.066875798270571,0.0007031679153442383
32,2,Scipy,1,0.0,0.0008301734924316406
32,2,Arnoldi,1,0.02348368536446185,0.0011409521102905273
32,2,Lanzcos,1,0.023483685364461875,0.0011076927185058594
32,3,Scipy,1,0.0,0.0008301734924316406
32,3,Arnoldi,1,0.006233208269060627,0.0011479616165161132
